Gold
860
222
828
454
807
532
771
338
274
466
793
512
348
388
116
586
437
682
778
211
390
99
403
350
640
589
555
767
99
204
133
785
1066
1558
451
411
257
561
99
744
239
804
600
99
596
913
153
382
995
841
1194
505
1263
885
433
1120
1127
902
494
913
614
136
935
195
504
523
454
1179
614
1431
815
1321
239
1131
1082
999
915
453
1055
204
1956
682
1726
320
984
443
575
1165
310
282
231
265
432
1046
515
472
701
437
889
1217
584
457
1165
162
442
626
179
393
520
233
780
533
484
194
410
615
1042
99
300
204
1221
249
447
164
376
521
797
715
748
328
912
882
261
523
672
539
620
863
403
356
254
1058
497
334
1985
538
170
328
1114
430
756
371
319
221
1587
530
1223
285
319
622
403
275
381
228
927
810
466
260
556
171
724
515
701
377
332
467
418
655
747
499
531
378
371
394
365
829
710
300
99
965
891
671
249
741
470
888
462
579
498
555
868
951
414
51
170
315
424
1019
332
94
514
382
689
313
749
201
801
349
250
1268
430
429
1198
885
998
1069
601
369
483
762
1002
930
177
441
919
280
634
418
511
256
335
1017
662
238
481
577
437
2086
271
568
701
571
490
334
423
99
308
390
337
552
934
554
473
251
423
616
183
565
124
316
466
594
602
804
344
522
1596
556
642
495
373
633
277
273
472
1088
143
393
321
304
403
416
672
585
537
954
327
274
460
259
485
304
720
472
611
906
461
728
185
133
241
578
392
571
308
635
99
343
99
798
665
843
161
214
657
273
1028
172
1609
998
99
556
1828
812
99
647
263
343
805
283
726
413
175
721
264
151
592
371
511
948
99
400
1143
229
398
462
665
453
255
747
1120
667
1594
1062
979
761
1000
256
1030
541
1233
885
468
471
925
1169
483
753
160
243
389
1244
924
617
467
521
353
1111
343
561
446
1087
128
687
307
462
861
482
771
716
263
765
149
443
417
294
424
261
151
548
516
547
259
549
375
898
466
475
145
345
359
141
469
784
513
296
258
654
274
250
137
324
939
489
515
196
308
297
714
381
159
462
313
758
209
329
276
1112
447
462
445
774
892
523
826
369
253
250
1072
254
1550
1415
280
551
1002
331
1139
268
414
212
881
463
437
486
475
504
889
272
509
1397
925
491
990
226
1196
777
946
1016
61
141
145
502
787
661
392
883
401
794
867
397
526
439
651
686
1055
665
236
478
989
390
745
502
269
420
794
891
397
630
162
856
830
463
813
435
877
850
290
498
526
221
526
377
227
585
292
429
431
365
799
269
593
320
747
229
527
993
687
771
834
198
527
1197
353
374
1194
884
402
302
362
1724
506
1016
151
1139
466
222
765
453
522
941
351
386
322
356
762
1681
380
156
624
508
270
1793
815
721
953
515
804
924
388
240
421
163
782
493
325
389
264
1214
274
51
620
375
612
814
512
567
161
606
836
894
143
885
263
1370
653
554
1202
688
614
840
1102
928
146
459
469
1901
157
208
158
1079
647
729
309
399
159
512
573
421
486
1341
642
520
278
310
390
739
359
815
240
728
1575
915
363
149
334
99
218
193
362
187
456
283
306
768
311
356
558
358
856
99
744
480
769
426
99
529
99
1318
848
383
531
299
947
296
257
698
565
239
536
493
571
311
508
1180
201
291
251
831
269
787
99
840
970
143
1132
694
438
1793
443
909
802
327
1041
464
711
518
954
233
280
607
311
318
1032
747
848
728
600
909
1630
321
659
825
143
824
381
540
231
144
830
193
302
309
234
127
444
884
612
211
271
239
1203
480
1120
278
203
333
290
370
567
1021
421
343
201
1079
838
349
817
956
239
517
448
2363
627
699
654
408
183
738
993
208
386
232
50
218
429
231
486
99
179
1111
366
153
417
255
394
394
766
227
228
1020
380
117
863
553
747
574
519
919
458
507
433
1040
710
474
303
340
514
960
528
592
854
477
135
890
929
158
340
306
808
318
257
279
506
984
302
270
302
213
378
223
277
589
239
319
245
1128
523
638
130
250
260
270
419
753
1282
442
247
191
447
380
488
144
332
141
451
862
776
778
401
856
969
161
624
456
223
220
99
132
1121
1254
418
770
1027
957
331
321
523
382
234
346
435
364
385
557
293
670
521
1001
530
942
370
888
887
971
879
850
188
406
449
285
746
987
226
31
339
436
1200
477
187
508
711
375
249
1146
99
1151
1621
1154
253
1018
697
842
157
562
264
585
917
192
278
505
469
224
1337
191
392
817
816
1935
337
136
62
341
1152
379
934
988
157
1029
157
248
382
264
805
126
148
403
417
324
240
545
652
234
679
482
617
162
310
443
723
386
1062
1268
389
825
579
560
452
359
777
469
692
126
529
358
435
479
707
386
806
1694
232
800
358
449
666
149
673
99
934
560
440
251
342
362
1035
415
159
307
376
435
393
713
952
99
932
668
389
1218
310
625
1049
556
492
222
825
797
352
790
900
150
704
217
157
330
506
238
609
292
926
362
182
999
305
350
492
554
287
99
742
602
405
895
272
638
838
227
1382
459
238
256
309
717
1161
187
319
239
495
242
99
979
338
519
263
410
216
99
758
889
157
1098
143
2088
903
731
1280
733
828
694
546
270
1067
880
1090
963
760
956
145
1035
946
554
210
843
458
812
540
661
1001
162
99
99
351
652
480
621
384
456
118
742
236
711
99
1417
774
275
230
431
1295
566
997
99
270
465
401
895
483
356
1126
624
113
232
442
162
679
403
536
463
559
784
201
364
475
166
138
421
290
974
843
383
522
99
334
512
804
564
1589
1057
916
291
853
146
428
1433
906
855
877
1198
816
898
699
899
1022
417
325
460
788
648
419
282
272
840
702
812
624
512
557
99
489
410
896
835
611
963
566
1148
99
696
150
449
469
796
562
262
464
607
615
1025
540
552
162
1452
303
195
221
452
684
674
1249
889
621
673
817
379
509
429
619
960
464
268
476
425
212
345
502
360
497
272
679
382
322
482
943
137
511
431
1790
788
333
737
99
921
734
476
847
1050
407
188
235
557
1055
346
164
898
132
1012
607
184
622
476
630
112
394
553
598
813
246
836
541
413
1080
508
183
1007
739
1249
237
723
451
735
316
512
781
872
110
1121
840
671
1122
463
1819
616
468
514
82
941
469
735
496
388
209
235
1056
1241
1195
873
498
354
1100
308
147
888
99
393
1519
169
1329
715
480
1760
584
1000
302
1117
1432
492
1017
582
1126
1030
193
524
986
578
1065
391
170
435
906
1119
132
870
1288
878
763
782
99
129
913
1083
99
423
937
1092
413
357
303
862
489
1673
428
699
397
143
1415
