Enemy,Damage Taken
2 Orb Walkers,65.0
Book of Stabbing,65.0
The Guardian,65.0
Reptomancer,65.0
Transient,65.0
Time Eater,65.0
The Heart,65.0
Shield and Spear,65.0
The Heart,65.0
Slime Boss,65.0
Collector,65.0
Time Eater,65.0
Slavers,65.0
The Heart,64.0
Collector,64.0
Hexaghost,64.0
Gremlin Leader,64.0
Slavers,64.0
Collector,64.0
Gremlin Nob,64.0
Reptomancer,64.0
The Guardian,64.0
Awakened One,64.0
Shield and Spear,64.0
Champ,64.0
Collector,64.0
Gremlin Nob,64.0
Giant Head,64.0
Hexaghost,64.0
Champ,64.0
4 Shapes,64.0
Automaton,63.0
The Heart,63.0
Time Eater,63.0
Hexaghost,63.0
Giant Head,63.0
Shield and Spear,63.0
Shelled Parasite and Fungi,63.0
Automaton,63.0
Donu and Deca,63.0
Awakened One,63.0
Shelled Parasite and Fungi,63.0
Automaton,63.0
The Heart,63.0
Collector,63.0
Automaton,63.0
Hexaghost,63.0
Hexaghost,63.0
The Heart,63.0
Time Eater,63.0
3 Cultists,63.0
Champ,63.0
Automaton,62.0
The Heart,62.0
Sphere and 2 Shapes,62.0
Shield and Spear,62.0
Reptomancer,62.0
Gremlin Nob,62.0
Slavers,62.0
Donu and Deca,62.0
Automaton,62.0
Donu and Deca,62.0
Donu and Deca,62.0
Awakened One,62.0
The Heart,62.0
Giant Head,62.0
Time Eater,62.0
Slavers,62.0
3 Cultists,62.0
Time Eater,62.0
Collector,62.0
Time Eater,62.0
Hexaghost,62.0
Colosseum Nobs,61.0
Awakened One,61.0
Donu and Deca,61.0
Transient,61.0
Book of Stabbing,61.0
Collector,61.0
The Heart,61.0
Champ,61.0
The Heart,61.0
Time Eater,61.0
Shield and Spear,61.0
Time Eater,61.0
3 Byrds,61.0
The Heart,61.0
The Guardian,61.0
Shield and Spear,61.0
Masked Bandits,61.0
The Heart,61.0
Time Eater,61.0
Collector,61.0
Shield and Spear,61.0
Hexaghost,61.0
Chosen and Byrds,61.0
Hexaghost,61.0
Book of Stabbing,61.0
Reptomancer,60.0
Nemesis,60.0
Time Eater,60.0
Slavers,60.0
3 Cultists,60.0
Gremlin Leader,60.0
Time Eater,60.0
Hexaghost,60.0
Giant Head,60.0
Lagavulin,60.0
Slavers,60.0
Slavers,60.0
Collector,60.0
Champ,60.0
Slavers,60.0
Slime Boss,60.0
Shield and Spear,60.0
Nemesis,60.0
3 Sentries,60.0
Lagavulin,60.0
Awakened One,60.0
Automaton,60.0
Sentry and Sphere,60.0
Lagavulin,60.0
Shield and Spear,60.0
Awakened One,60.0
The Heart,60.0
3 Darklings,59.0
Awakened One,59.0
Shield and Spear,59.0
Gremlin Nob,59.0
The Heart,59.0
Slavers,59.0
Automaton,59.0
Champ,59.0
Shelled Parasite and Fungi,59.0
Donu and Deca,59.0
Gremlin Nob,59.0
Hexaghost,59.0
Book of Stabbing,59.0
3 Sentries,59.0
Slime Boss,59.0
Transient,59.0
Champ,59.0
Gremlin Nob,59.0
Nemesis,59.0
Giant Head,59.0
Awakened One,59.0
The Heart,59.0
Automaton,58.0
Slavers,58.0
Automaton,58.0
Reptomancer,58.0
Giant Head,58.0
Time Eater,58.0
Lagavulin Event,58.0
Gremlin Leader,58.0
Slavers,58.0
The Heart,58.0
Gremlin Nob,58.0
Time Eater,58.0
Collector,58.0
Collector,58.0
The Guardian,58.0
Gremlin Nob,58.0
Gremlin Leader,58.0
Nemesis,58.0
Donu and Deca,58.0
3 Shapes,58.0
The Heart,58.0
Champ,58.0
Gremlin Leader,58.0
The Heart,58.0
Centurion and Healer,58.0
Masked Bandits,58.0
Champ,58.0
Slavers,58.0
Donu and Deca,58.0
The Heart,58.0
Lagavulin,58.0
Time Eater,58.0
Slavers,57.0
Champ,57.0
The Guardian,57.0
Shield and Spear,57.0
Gremlin Leader,57.0
Hexaghost,57.0
Gremlin Gang,57.0
Gremlin Leader,57.0
Lagavulin,57.0
Time Eater,57.0
Time Eater,57.0
Time Eater,57.0
Automaton,57.0
Collector,57.0
Collector,57.0
Collector,57.0
Champ,57.0
Automaton,57.0
Lagavulin,57.0
Collector,57.0
Champ,57.0
Nemesis,57.0
Slime Boss,57.0
Lagavulin,57.0
Slavers,57.0
The Heart,56.0
Slime Boss,56.0
Snake Plant,56.0
Shield and Spear,56.0
Shield and Spear,56.0
Gremlin Leader,56.0
Gremlin Nob,56.0
Gremlin Nob,56.0
Snake Plant,56.0
Time Eater,56.0
Centurion and Healer,56.0
The Heart,56.0
Nemesis,56.0
Slavers,56.0
Champ,56.0
Reptomancer,56.0
Awakened One,56.0
3 Darklings,56.0
Gremlin Nob,56.0
Snake Plant,56.0
Book of Stabbing,56.0
Gremlin Leader,56.0
Slavers,56.0
Lagavulin,56.0
Lagavulin,56.0
Slavers,55.0
Automaton,55.0
Donu and Deca,55.0
Spheric Guardian,55.0
Collector,55.0
The Heart,55.0
The Heart,55.0
The Heart,55.0
Collector,55.0
Time Eater,55.0
Awakened One,55.0
Gremlin Nob,55.0
Awakened One,55.0
Gremlin Leader,55.0
Nemesis,55.0
Champ,55.0
Automaton,55.0
Gremlin Nob,55.0
Awakened One,55.0
3 Sentries,55.0
Slavers,55.0
Writhing Mass,55.0
Gremlin Nob,55.0
Book of Stabbing,55.0
Collector,55.0
Gremlin Nob,55.0
Gremlin Nob,54.0
Time Eater,54.0
Gremlin Nob,54.0
Awakened One,54.0
Nemesis,54.0
Gremlin Nob,54.0
Time Eater,54.0
Gremlin Nob,54.0
Automaton,54.0
