Enemy,Damage Taken
Book of Stabbing,17.0
Shelled Parasite and Fungi,17.0
Exordium Thugs,17.0
Slime Boss,17.0
3 Byrds,17.0
3 Darklings,17.0
Book of Stabbing,17.0
Transient,17.0
Spheric Guardian,17.0
Lagavulin,17.0
Spheric Guardian,17.0
3 Darklings,17.0
2 Thieves,17.0
Hexaghost,17.0
3 Sentries,17.0
Chosen,17.0
Lagavulin,17.0
Cultist,17.0
Slavers,17.0
Book of Stabbing,17.0
Gremlin Leader,17.0
Large Slime,17.0
Sentry and Sphere,17.0
3 Sentries,17.0
3 Darklings,17.0
Orb Walker,17.0
Reptomancer,17.0
Automaton,17.0
Reptomancer,17.0
Slavers,17.0
3 Sentries,17.0
Champ,17.0
Exordium Thugs,17.0
Blue Slaver,17.0
The Guardian,17.0
2 Louse,17.0
Book of Stabbing,17.0
3 Sentries,17.0
Gremlin Nob,17.0
2 Thieves,17.0
3 Sentries,17.0
Nemesis,17.0
Gremlin Gang,17.0
The Mushroom Lair,17.0
3 Sentries,17.0
Looter,17.0
Book of Stabbing,17.0
Book of Stabbing,17.0
Automaton,17.0
3 Darklings,17.0
Cultist,17.0
Snecko,17.0
Shell Parasite,17.0
2 Thieves,17.0
Collector,17.0
2 Thieves,17.0
Snake Plant,17.0
Small Slimes,17.0
Hexaghost,17.0
2 Thieves,17.0
3 Sentries,17.0
3 Louse,17.0
Book of Stabbing,17.0
Lagavulin,17.0
Shield and Spear,17.0
Lagavulin,17.0
Centurion and Healer,17.0
Donu and Deca,17.0
4 Shapes,17.0
Reptomancer,17.0
The Mushroom Lair,17.0
Red Slaver,17.0
Hexaghost,17.0
Looter,17.0
Exordium Thugs,17.0
Exordium Thugs,17.0
Hexaghost,17.0
Donu and Deca,17.0
3 Sentries,17.0
Jaw Worm,17.0
Spheric Guardian,17.0
3 Byrds,17.0
Gremlin Leader,17.0
Book of Stabbing,17.0
Chosen,17.0
Shell Parasite,17.0
Sphere and 2 Shapes,17.0
Lagavulin,17.0
3 Louse,17.0
2 Fungi Beasts,17.0
Gremlin Nob,17.0
Gremlin Nob,17.0
Snake Plant,17.0
3 Cultists,17.0
The Guardian,17.0
Spheric Guardian,17.0
Awakened One,17.0
3 Sentries,17.0
Slavers,17.0
Lots of Slimes,17.0
Nemesis,17.0
3 Byrds,17.0
Lagavulin,17.0
Maw,17.0
Gremlin Leader,17.0
Red Slaver,17.0
Nemesis,17.0
Snake Plant,17.0
3 Sentries,17.0
Spheric Guardian,17.0
Orb Walker,17.0
3 Byrds,17.0
Slavers,17.0
Lagavulin,17.0
3 Sentries,17.0
Lagavulin,17.0
Blue Slaver,17.0
Book of Stabbing,17.0
Shell Parasite,17.0
Lagavulin,17.0
Looter,17.0
Cultist and Chosen,17.0
Shelled Parasite and Fungi,17.0
2 Thieves,17.0
Hexaghost,17.0
Masked Bandits,17.0
Chosen,17.0
The Guardian,17.0
Shell Parasite,17.0
Mind Bloom Boss Battle,17.0
2 Thieves,17.0
Slime Boss,17.0
Lots of Slimes,17.0
Lagavulin,17.0
Exordium Thugs,17.0
Lots of Slimes,17.0
Awakened One,17.0
Donu and Deca,17.0
Red Slaver,17.0
Slavers,17.0
Book of Stabbing,17.0
Time Eater,17.0
Gremlin Leader,17.0
Snecko,17.0
Exordium Thugs,17.0
Nemesis,17.0
Exordium Wildlife,17.0
Exordium Thugs,17.0
Large Slime,17.0
Slavers,17.0
Book of Stabbing,17.0
Snake Plant,17.0
3 Sentries,17.0
Chosen and Byrds,17.0
Large Slime,17.0
Exordium Thugs,17.0
Slime Boss,17.0
Lagavulin,17.0
Spheric Guardian,17.0
Chosen,17.0
Lagavulin,17.0
The Guardian,17.0
Shelled Parasite and Fungi,17.0
Snake Plant,17.0
Chosen,17.0
Cultist and Chosen,17.0
The Guardian,17.0
Gremlin Leader,17.0
Centurion and Healer,17.0
Slavers,17.0
Reptomancer,17.0
Gremlin Gang,17.0
Lagavulin,17.0
3 Sentries,17.0
3 Sentries,17.0
3 Sentries,17.0
Lagavulin,17.0
Gremlin Nob,17.0
Gremlin Nob,17.0
Awakened One,17.0
3 Darklings,17.0
Nemesis,17.0
Sentry and Sphere,17.0
3 Sentries,17.0
Snecko,17.0
Lagavulin,17.0
Hexaghost,17.0
Snake Plant,17.0
Book of Stabbing,17.0
Hexaghost,17.0
Writhing Mass,17.0
3 Sentries,17.0
4 Shapes,17.0
Shell Parasite,17.0
The Guardian,17.0
3 Sentries,17.0
Writhing Mass,17.0
2 Thieves,17.0
2 Thieves,17.0
Lagavulin,17.0
Lagavulin,17.0
Small Slimes,17.0
Collector,17.0
Sphere and 2 Shapes,17.0
Centurion and Healer,17.0
Sphere and 2 Shapes,17.0
Sentry and Sphere,17.0
Snake Plant,17.0
Lagavulin,17.0
3 Sentries,17.0
3 Byrds,16.0
Book of Stabbing,16.0
Chosen,16.0
The Guardian,16.0
4 Shapes,16.0
Donu and Deca,16.0
Gremlin Nob,16.0
Writhing Mass,16.0
Giant Head,16.0
The Guardian,16.0
3 Sentries,16.0
Gremlin Nob,16.0
Gremlin Nob,16.0
2 Thieves,16.0
Gremlin Nob,16.0
2 Thieves,16.0
Exordium Thugs,16.0
Shell Parasite,16.0
Slime Boss,16.0
3 Byrds,16.0
Lagavulin,16.0
3 Cultists,16.0
Lots of Slimes,16.0
Nemesis,16.0
3 Sentries,16.0
Book of Stabbing,16.0
Book of Stabbing,16.0
Gremlin Nob,16.0
Shell Parasite,16.0
Gremlin Nob,16.0
Shield and Spear,16.0
Exordium Wildlife,16.0
Cultist and Chosen,16.0
Book of Stabbing,16.0
The Guardian,16.0
3 Louse,16.0
Nemesis,16.0
Slavers,16.0
Cultist,16.0
Shelled Parasite and Fungi,16.0
Awakened One,16.0
Maw,16.0
Hexaghost,16.0
3 Shapes,16.0
Orb Walker,16.0
Chosen,16.0
Gremlin Nob,16.0
Nemesis,16.0
Slime Boss,16.0
Book of Stabbing,16.0
Gremlin Nob,16.0
Jaw Worm,16.0
Gremlin Nob,16.0
Gremlin Nob,16.0
Gremlin Nob,16.0
Reptomancer,16.0
The Guardian,16.0
Lagavulin,16.0
Exordium Thugs,16.0
Blue Slaver,16.0
Spheric Guardian,16.0
3 Sentries,16.0
Spheric Guardian,16.0
3 Byrds,16.0
Gremlin Leader,16.0
3 Shapes,16.0
3 Sentries,16.0
3 Sentries,16.0
Book of Stabbing,16.0
Automaton,16.0
Gremlin Nob,16.0
Cultist and Chosen,16.0
3 Byrds,16.0
Blue Slaver,16.0
3 Sentries,16.0
4 Shapes,16.0
Centurion and Healer,16.0
Colosseum Slavers,16.0
Chosen,16.0
Gremlin Nob,16.0
Lagavulin,16.0
Snake Plant,16.0
Slime Boss,16.0
3 Sentries,16.0
Slime Boss,16.0
3 Sentries,16.0
Cultist and Chosen,16.0
Shell Parasite,16.0
3 Byrds,16.0
Lagavulin,16.0
Spheric Guardian,16.0
Centurion and Healer,16.0
Gremlin Nob,16.0
Gremlin Nob,16.0
2 Thieves,16.0
The Guardian,16.0
Snake Plant,16.0
Writhing Mass,16.0
Gremlin Nob,16.0
Book of Stabbing,16.0
Gremlin Nob,16.0
Large Slime,16.0
Lagavulin,16.0
Snake Plant,16.0
Time Eater,16.0
Book of Stabbing,16.0
Gremlin Nob,16.0
Giant Head,16.0
Lagavulin,16.0
3 Byrds,16.0
3 Byrds,16.0
Awakened One,16.0
Mind Bloom Boss Battle,16.0
Spire Growth,16.0
3 Sentries,16.0
Spheric Guardian,16.0
Lagavulin,16.0
Shell Parasite,16.0
Spire Growth,16.0
Large Slime,16.0
Lagavulin,16.0
Gremlin Leader,16.0
The Guardian,16.0
Gremlin Leader,16.0
Lots of Slimes,16.0
Gremlin Gang,16.0
The Mushroom Lair,16.0
2 Thieves,16.0
Shell Parasite,16.0
3 Shapes,16.0
Centurion and Healer,16.0
Masked Bandits,16.0
Gremlin Nob,16.0
Jaw Worm,16.0
Lagavulin,16.0
The Guardian,16.0
Large Slime,16.0
Snake Plant,16.0
2 Thieves,16.0
3 Darklings,16.0
Donu and Deca,16.0
Snake Plant,16.0
Automaton,16.0
Snake Plant,16.0
Orb Walker,16.0
2 Louse,16.0
Spheric Guardian,16.0
The Guardian,16.0
Lagavulin,16.0
3 Cultists,16.0
Centurion and Healer,16.0
Spheric Guardian,16.0
Slavers,16.0
Snecko,16.0
Cultist and Chosen,16.0
Reptomancer,16.0
Jaw Worm Horde,16.0
Gremlin Nob,16.0
2 Thieves,16.0
Orb Walker,16.0
Slavers,16.0
Shell Parasite,16.0
The Guardian,16.0
Hexaghost,16.0
Lots of Slimes,16.0
Gremlin Nob,16.0
Small Slimes,16.0
Collector,16.0
Gremlin Nob,16.0
The Mushroom Lair,16.0
Maw,16.0
Champ,16.0
Hexaghost,16.0
Gremlin Nob,16.0
Jaw Worm,16.0
3 Sentries,16.0
Spire Growth,16.0
Gremlin Leader,16.0
Automaton,16.0
Slavers,16.0
Centurion and Healer,16.0
3 Cultists,16.0
Gremlin Nob,16.0
Awakened One,16.0
Jaw Worm,16.0
Snake Plant,16.0
Centurion and Healer,16.0
Colosseum Slavers,16.0
3 Sentries,16.0
Small Slimes,16.0
Jaw Worm,16.0
Centurion and Healer,16.0
Centurion and Healer,16.0
Spire Growth,16.0
Jaw Worm,16.0
Awakened One,16.0
Gremlin Nob,16.0
3 Sentries,16.0
Hexaghost,16.0
The Guardian,16.0
Snake Plant,16.0
The Guardian,16.0
Orb Walker,16.0
2 Orb Walkers,16.0
Collector,16.0
3 Louse,16.0
Book of Stabbing,16.0
Transient,16.0
3 Louse,16.0
Lagavulin,16.0
The Guardian,16.0
Shell Parasite,16.0
Reptomancer,16.0
Lots of Slimes,16.0
Book of Stabbing,16.0
Gremlin Nob,16.0
Chosen and Byrds,16.0
Slavers,16.0
3 Byrds,16.0
The Mushroom Lair,16.0
Maw,16.0
Hexaghost,16.0
Snecko,16.0
Jaw Worm,16.0
Jaw Worm,16.0
Lagavulin,16.0
The Guardian,16.0
Jaw Worm,16.0
Book of Stabbing,16.0
The Guardian,16.0
3 Sentries,16.0
Reptomancer,16.0
Spheric Guardian,16.0
Shell Parasite,16.0
Giant Head,16.0
Small Slimes,16.0
Spheric Guardian,16.0
Snake Plant,16.0
2 Louse,16.0
Automaton,16.0
Gremlin Gang,16.0
Gremlin Gang,16.0
Exordium Thugs,16.0
Gremlin Nob,16.0
Spheric Guardian,16.0
Collector,16.0
2 Thieves,16.0
Lagavulin,16.0
Large Slime,16.0
3 Cultists,16.0
Book of Stabbing,16.0
Shelled Parasite and Fungi,16.0
The Guardian,16.0
Orb Walker,16.0
Sentry and Sphere,16.0
Chosen,16.0
Gremlin Nob,16.0
Jaw Worm,16.0
Collector,16.0
Jaw Worm,16.0
Nemesis,16.0
Shell Parasite,16.0
The Guardian,16.0
Lagavulin,16.0
Lagavulin,16.0
2 Orb Walkers,16.0
3 Darklings,16.0
Colosseum Slavers,16.0
3 Sentries,16.0
Small Slimes,16.0
Time Eater,16.0
Gremlin Gang,16.0
3 Louse,16.0
Spheric Guardian,16.0
Gremlin Nob,16.0
Sentry and Sphere,16.0
Gremlin Nob,16.0
Large Slime,16.0
3 Sentries,16.0
Spheric Guardian,16.0
3 Byrds,16.0
The Guardian,16.0
The Heart,16.0
Book of Stabbing,16.0
2 Thieves,16.0
Lagavulin,16.0
Shell Parasite,16.0
Hexaghost,16.0
Slime Boss,16.0
Jaw Worm Horde,16.0
Blue Slaver,16.0
Gremlin Nob,16.0
Book of Stabbing,16.0
Gremlin Nob,16.0
Book of Stabbing,16.0
Gremlin Nob,16.0
Collector,16.0
Lagavulin,16.0
Awakened One,16.0
Snake Plant,16.0
Gremlin Nob,16.0
Gremlin Leader,16.0
Gremlin Nob,16.0
Spheric Guardian,16.0
Collector,16.0
Looter,16.0
3 Sentries,16.0
Shelled Parasite and Fungi,16.0
Gremlin Nob,16.0
Chosen,16.0
Gremlin Leader,16.0
3 Sentries,16.0
3 Darklings,16.0
Gremlin Nob,16.0
Gremlin Leader,16.0
Book of Stabbing,16.0
3 Shapes,16.0
Cultist and Chosen,16.0
Book of Stabbing,16.0
Lots of Slimes,16.0
Jaw Worm,16.0
Gremlin Nob,16.0
Jaw Worm,16.0
Automaton,16.0
3 Sentries,16.0
3 Shapes,16.0
Chosen and Byrds,16.0
Slime Boss,16.0
Time Eater,16.0
Jaw Worm,16.0
Book of Stabbing,16.0
Snake Plant,16.0
2 Thieves,16.0
2 Thieves,16.0
Sentry and Sphere,16.0
Gremlin Nob,16.0
Chosen,16.0
Snecko,16.0
Gremlin Nob,16.0
Sphere and 2 Shapes,16.0
Gremlin Gang,16.0
Nemesis,16.0
Gremlin Nob,16.0
Blue Slaver,16.0
Champ,16.0
Spheric Guardian,16.0
Automaton,16.0
Gremlin Nob,16.0
Exordium Thugs,16.0
Shield and Spear,16.0
Gremlin Nob,16.0
Hexaghost,16.0
Reptomancer,16.0
Lagavulin,16.0
3 Cultists,16.0
Gremlin Nob,16.0
Gremlin Leader,16.0
Spheric Guardian,16.0
Centurion and Healer,16.0
Gremlin Gang,16.0
Exordium Wildlife,16.0
3 Darklings,16.0
2 Louse,16.0
3 Louse,16.0
Shelled Parasite and Fungi,16.0
Lagavulin,16.0
Lagavulin,16.0
The Guardian,16.0
3 Byrds,16.0
Slavers,16.0
Lagavulin,16.0
3 Sentries,16.0
Gremlin Leader,16.0
3 Cultists,16.0
Shell Parasite,16.0
Slavers,16.0
Small Slimes,16.0
Centurion and Healer,16.0
3 Darklings,16.0
Sentry and Sphere,16.0
Chosen and Byrds,16.0
Shell Parasite,16.0
Gremlin Nob,16.0
Automaton,16.0
3 Sentries,16.0
3 Sentries,16.0
Red Slaver,16.0
Shell Parasite,16.0
2 Orb Walkers,15.0
Shell Parasite,15.0
Lagavulin,15.0
2 Thieves,15.0
Masked Bandits,15.0
3 Darklings,15.0
Donu and Deca,15.0
3 Sentries,15.0
Hexaghost,15.0
3 Sentries,15.0
3 Sentries,15.0
Shelled Parasite and Fungi,15.0
3 Sentries,15.0
Jaw Worm Horde,15.0
The Guardian,15.0
Exordium Thugs,15.0
Champ,15.0
Orb Walker,15.0
3 Shapes,15.0
3 Byrds,15.0
3 Sentries,15.0
3 Louse,15.0
Jaw Worm,15.0
3 Darklings,15.0
Cultist,15.0
Gremlin Leader,15.0
3 Sentries,15.0
Book of Stabbing,15.0
Lagavulin,15.0
Snake Plant,15.0
3 Sentries,15.0
Chosen,15.0
Large Slime,15.0
Snake Plant,15.0
Lagavulin,15.0
3 Sentries,15.0
Small Slimes,15.0
Snake Plant,15.0
Exordium Wildlife,15.0
Book of Stabbing,15.0
Lagavulin,15.0
Gremlin Gang,15.0
Small Slimes,15.0
Chosen,15.0
Lagavulin,15.0
Spire Growth,15.0
3 Sentries,15.0
Cultist and Chosen,15.0
Lagavulin,15.0
Red Slaver,15.0
Small Slimes,15.0
Spheric Guardian,15.0
2 Thieves,15.0
Chosen,15.0
Lagavulin,15.0
Small Slimes,15.0
3 Sentries,15.0
Large Slime,15.0
3 Sentries,15.0
Gremlin Gang,15.0
3 Sentries,15.0
3 Byrds,15.0
3 Sentries,15.0
Shield and Spear,15.0
3 Sentries,15.0
Colosseum Slavers,15.0
3 Sentries,15.0
Gremlin Gang,15.0
Large Slime,15.0
Centurion and Healer,15.0
Shelled Parasite and Fungi,15.0
Red Slaver,15.0
3 Sentries,15.0
Lagavulin,15.0
Gremlin Gang,15.0
3 Byrds,15.0
Writhing Mass,15.0
Cultist,15.0
Gremlin Gang,15.0
Chosen and Byrds,15.0
Writhing Mass,15.0
Writhing Mass,15.0
2 Thieves,15.0
Slime Boss,15.0
3 Darklings,15.0
Lots of Slimes,15.0
3 Byrds,15.0
Snake Plant,15.0
3 Sentries,15.0
Slime Boss,15.0
2 Thieves,15.0
Large Slime,15.0
Book of Stabbing,15.0
Lots of Slimes,15.0
Blue Slaver,15.0
Gremlin Gang,15.0
Champ,15.0
Gremlin Leader,15.0
3 Sentries,15.0
3 Sentries,15.0
2 Fungi Beasts,15.0
Lagavulin,15.0
The Guardian,15.0
Cultist and Chosen,15.0
Lagavulin,15.0
Lagavulin,15.0
Lagavulin,15.0
Collector,15.0
3 Louse,15.0
Awakened One,15.0
Lagavulin,15.0
Book of Stabbing,15.0
Hexaghost,15.0
Shelled Parasite and Fungi,15.0
Shell Parasite,15.0
2 Thieves,15.0
Shell Parasite,15.0
2 Thieves,15.0
Snake Plant,15.0
Shell Parasite,15.0
2 Thieves,15.0
Slavers,15.0
3 Darklings,15.0
Exordium Thugs,15.0
Centurion and Healer,15.0
Maw,15.0
3 Sentries,15.0
Lots of Slimes,15.0
Book of Stabbing,15.0
Reptomancer,15.0
3 Sentries,15.0
Gremlin Leader,15.0
Shelled Parasite and Fungi,15.0
Large Slime,15.0
The Guardian,15.0
Exordium Thugs,15.0
3 Byrds,15.0
3 Sentries,15.0
Lagavulin,15.0
Centurion and Healer,15.0
The Guardian,15.0
Snake Plant,15.0
Snake Plant,15.0
3 Darklings,15.0
Lagavulin,15.0
Time Eater,15.0
3 Byrds,15.0
The Mushroom Lair,15.0
3 Louse,15.0
3 Sentries,15.0
Centurion and Healer,15.0
Red Slaver,15.0
Exordium Wildlife,15.0
Lagavulin,15.0
3 Louse,15.0
Lagavulin,15.0
Centurion and Healer,15.0
Slavers,15.0
Orb Walker,15.0
Small Slimes,15.0
Gremlin Gang,15.0
Lagavulin,15.0
2 Thieves,15.0
Automaton,15.0
Hexaghost,15.0
Lagavulin,15.0
Lots of Slimes,15.0
Nemesis,15.0
Large Slime,15.0
3 Shapes,15.0
Book of Stabbing,15.0
Reptomancer,15.0
Orb Walker,15.0
Shell Parasite,15.0
Gremlin Leader,15.0
3 Darklings,15.0
The Guardian,15.0
Cultist,15.0
Book of Stabbing,15.0
Shell Parasite,15.0
3 Sentries,15.0
Shelled Parasite and Fungi,15.0
Maw,15.0
Snake Plant,15.0
3 Sentries,15.0
Gremlin Gang,15.0
Jaw Worm,15.0
Book of Stabbing,15.0
Lagavulin,15.0
Gremlin Nob,15.0
Lagavulin,15.0
3 Sentries,15.0
Shell Parasite,15.0
3 Sentries,15.0
Exordium Thugs,15.0
3 Sentries,15.0
Cultist,15.0
Lagavulin,15.0
Centurion and Healer,15.0
Shelled Parasite and Fungi,15.0
Book of Stabbing,15.0
Lagavulin,15.0
Centurion and Healer,15.0
3 Sentries,15.0
Shell Parasite,15.0
Centurion and Healer,15.0
3 Shapes,15.0
Snake Plant,15.0
3 Sentries,15.0
3 Byrds,15.0
3 Sentries,15.0
Lagavulin,15.0
Hexaghost,15.0
Lagavulin,15.0
Snake Plant,15.0
Chosen,15.0
Time Eater,15.0
Slavers,15.0
Lagavulin,15.0
Shelled Parasite and Fungi,15.0
Jaw Worm,15.0
Shell Parasite,15.0
Cultist and Chosen,15.0
Snake Plant,15.0
Lagavulin,15.0
Giant Head,15.0
Lagavulin,15.0
Blue Slaver,15.0
Automaton,15.0
Reptomancer,15.0
Sphere and 2 Shapes,15.0
Hexaghost,15.0
Slavers,15.0
Lagavulin,15.0
3 Sentries,15.0
Lagavulin,15.0
Slavers,15.0
Slavers,15.0
3 Cultists,15.0
Snake Plant,15.0
Nemesis,15.0
Jaw Worm Horde,15.0
Centurion and Healer,15.0
Gremlin Gang,15.0
Small Slimes,15.0
Gremlin Leader,15.0
3 Sentries,15.0
Time Eater,15.0
Chosen,15.0
Book of Stabbing,15.0
Book of Stabbing,15.0
Snake Plant,15.0
Small Slimes,15.0
Spire Growth,15.0
Shell Parasite,15.0
The Guardian,15.0
Shelled Parasite and Fungi,15.0
3 Byrds,15.0
Champ,15.0
Gremlin Leader,15.0
3 Cultists,15.0
Lagavulin,15.0
3 Byrds,15.0
Spheric Guardian,15.0
Small Slimes,15.0
Lots of Slimes,15.0
3 Sentries,15.0
Chosen and Byrds,15.0
Gremlin Nob,15.0
Nemesis,15.0
Exordium Thugs,15.0
3 Byrds,15.0
The Mushroom Lair,15.0
Champ,15.0
Lagavulin,15.0
3 Sentries,15.0
Lagavulin,15.0
Exordium Wildlife,15.0
Lagavulin,15.0
The Guardian,15.0
Lagavulin,15.0
3 Sentries,15.0
Transient,15.0
3 Byrds,15.0
Snecko,15.0
Slavers,15.0
3 Sentries,15.0
Lagavulin,15.0
Slavers,15.0
Large Slime,15.0
Gremlin Nob,15.0
Slavers,15.0
Shell Parasite,15.0
Book of Stabbing,15.0
4 Shapes,15.0
Book of Stabbing,15.0
Reptomancer,15.0
2 Orb Walkers,15.0
Lagavulin,15.0
Hexaghost,15.0
Snake Plant,15.0
Collector,15.0
3 Sentries,15.0
The Mushroom Lair,15.0
3 Sentries,15.0
Shelled Parasite and Fungi,15.0
Centurion and Healer,15.0
3 Sentries,15.0
Exordium Thugs,15.0
Snake Plant,15.0
Hexaghost,15.0
3 Sentries,15.0
Gremlin Nob,15.0
Snake Plant,15.0
Lagavulin,15.0
Spheric Guardian,15.0
Centurion and Healer,15.0
Lagavulin,15.0
Snake Plant,15.0
Slime Boss,15.0
2 Thieves,15.0
Gremlin Leader,15.0
3 Shapes,15.0
Time Eater,15.0
Slavers,15.0
Donu and Deca,15.0
Gremlin Nob,15.0
3 Sentries,15.0
Looter,15.0
Orb Walker,15.0
Snake Plant,15.0
Spheric Guardian,15.0
Lagavulin,15.0
Slavers,15.0
Lagavulin,15.0
Gremlin Leader,15.0
Slavers,15.0
Chosen and Byrds,15.0
Slavers,15.0
4 Shapes,15.0
2 Thieves,15.0
Snake Plant,15.0
Lots of Slimes,15.0
3 Sentries,15.0
Exordium Thugs,15.0
Shell Parasite,15.0
Shield and Spear,15.0
Slavers,15.0
Exordium Thugs,15.0
3 Sentries,15.0
Slavers,15.0
Book of Stabbing,15.0
Shelled Parasite and Fungi,15.0
Gremlin Nob,15.0
3 Darklings,15.0
Lagavulin,15.0
3 Sentries,15.0
Snake Plant,15.0
Gremlin Leader,15.0
Centurion and Healer,15.0
Automaton,15.0
3 Darklings,15.0
3 Sentries,15.0
2 Thieves,15.0
3 Sentries,15.0
Spheric Guardian,15.0
Snake Plant,15.0
Snecko,15.0
3 Sentries,15.0
Slavers,15.0
Lagavulin,15.0
Shell Parasite,15.0
Snake Plant,15.0
3 Sentries,15.0
Book of Stabbing,15.0
3 Shapes,15.0
Donu and Deca,15.0
Lagavulin,15.0
Exordium Thugs,15.0
Donu and Deca,15.0
Book of Stabbing,15.0
3 Byrds,15.0
Time Eater,15.0
Cultist,15.0
The Guardian,15.0
Large Slime,15.0
Hexaghost,15.0
Snecko,15.0
Book of Stabbing,15.0
3 Sentries,15.0
The Mushroom Lair,15.0
Book of Stabbing,15.0
Automaton,15.0
3 Cultists,15.0
Red Slaver,15.0
Sentry and Sphere,15.0
Lagavulin,15.0
3 Louse,15.0
Looter,15.0
Jaw Worm Horde,15.0
Hexaghost,15.0
3 Sentries,15.0
3 Sentries,15.0
Large Slime,15.0
Snake Plant,15.0
Masked Bandits,15.0
Time Eater,15.0
The Guardian,15.0
Cultist and Chosen,15.0
3 Louse,15.0
Shell Parasite,15.0
Exordium Wildlife,15.0
Shield and Spear,15.0
4 Shapes,15.0
Cultist and Chosen,15.0
Jaw Worm Horde,15.0
Hexaghost,15.0
Collector,15.0
Gremlin Gang,15.0
Automaton,15.0
Snecko,15.0
Cultist and Chosen,15.0
Centurion and Healer,15.0
Gremlin Nob,14.0
Large Slime,14.0
3 Louse,14.0
4 Shapes,14.0
Book of Stabbing,14.0
Shell Parasite,14.0
Lagavulin,14.0
3 Sentries,14.0
Gremlin Nob,14.0
3 Sentries,14.0
Lagavulin,14.0
Book of Stabbing,14.0
Lagavulin,14.0
3 Sentries,14.0
3 Darklings,14.0
3 Darklings,14.0
Shell Parasite,14.0
3 Sentries,14.0
Looter,14.0
Spheric Guardian,14.0
Shell Parasite,14.0
Shell Parasite,14.0
Snake Plant,14.0
Hexaghost,14.0
Snake Plant,14.0
Collector,14.0
Awakened One,14.0
Exordium Thugs,14.0
Shell Parasite,14.0
Colosseum Slavers,14.0
Snecko,14.0
Small Slimes,14.0
3 Sentries,14.0
Shell Parasite,14.0
Gremlin Nob,14.0
Lots of Slimes,14.0
Exordium Thugs,14.0
3 Darklings,14.0
Gremlin Nob,14.0
Gremlin Nob,14.0
Masked Bandits,14.0
Cultist and Chosen,14.0
Snake Plant,14.0
Centurion and Healer,14.0
Hexaghost,14.0
Slavers,14.0
Jaw Worm,14.0
Hexaghost,14.0
Donu and Deca,14.0
Snake Plant,14.0
Spire Growth,14.0
Gremlin Nob,14.0
3 Sentries,14.0
Reptomancer,14.0
Writhing Mass,14.0
3 Byrds,14.0
3 Sentries,14.0
Slavers,14.0
Exordium Thugs,14.0
Gremlin Nob,14.0
Orb Walker,14.0
Centurion and Healer,14.0
Small Slimes,14.0
4 Shapes,14.0
3 Byrds,14.0
Lagavulin,14.0
Gremlin Nob,14.0
3 Byrds,14.0
Jaw Worm,14.0
3 Sentries,14.0
3 Sentries,14.0
Hexaghost,14.0
Gremlin Gang,14.0
2 Thieves,14.0
Slime Boss,14.0
The Mushroom Lair,14.0
Slavers,14.0
Snake Plant,14.0
Writhing Mass,14.0
Hexaghost,14.0
Spheric Guardian,14.0
Shelled Parasite and Fungi,14.0
Lagavulin,14.0
Gremlin Nob,14.0
Lagavulin,14.0
Chosen and Byrds,14.0
2 Thieves,14.0
Centurion and Healer,14.0
The Heart,14.0
Shield and Spear,14.0
Chosen,14.0
Book of Stabbing,14.0
Small Slimes,14.0
Exordium Thugs,14.0
Slavers,14.0
Exordium Thugs,14.0
Gremlin Nob,14.0
Jaw Worm,14.0
Lagavulin,14.0
3 Sentries,14.0
Jaw Worm,14.0
3 Sentries,14.0
Gremlin Nob,14.0
2 Thieves,14.0
Transient,14.0
Lagavulin,14.0
The Mushroom Lair,14.0
Hexaghost,14.0
Cultist and Chosen,14.0
Small Slimes,14.0
Hexaghost,14.0
3 Sentries,14.0
Lagavulin,14.0
Red Slaver,14.0
Large Slime,14.0
Jaw Worm,14.0
Shell Parasite,14.0
Lagavulin,14.0
3 Sentries,14.0
The Guardian,14.0
Exordium Wildlife,14.0
Shell Parasite,14.0
Gremlin Leader,14.0
Shelled Parasite and Fungi,14.0
Time Eater,14.0
Exordium Wildlife,14.0
Snake Plant,14.0
2 Thieves,14.0
3 Darklings,14.0
Snecko,14.0
Small Slimes,14.0
Blue Slaver,14.0
Exordium Wildlife,14.0
Slavers,14.0
Lagavulin,14.0
Gremlin Nob,14.0
Snecko,14.0
Spheric Guardian,14.0
Blue Slaver,14.0
Champ,14.0
Looter,14.0
Lagavulin,14.0
Snake Plant,14.0
Snecko,14.0
Writhing Mass,14.0
Gremlin Nob,14.0
Lots of Slimes,14.0
Gremlin Nob,14.0
Gremlin Leader,14.0
Hexaghost,14.0
3 Darklings,14.0
Small Slimes,14.0
Red Slaver,14.0
Donu and Deca,14.0
Gremlin Gang,14.0
Shelled Parasite and Fungi,14.0
Jaw Worm,14.0
Lots of Slimes,14.0
Shelled Parasite and Fungi,14.0
Jaw Worm,14.0
3 Darklings,14.0
Gremlin Nob,14.0
Slime Boss,14.0
Jaw Worm,14.0
Jaw Worm,14.0
Red Slaver,14.0
Snake Plant,14.0
Book of Stabbing,14.0
Slavers,14.0
3 Sentries,14.0
Centurion and Healer,14.0
Nemesis,14.0
Slavers,14.0
2 Thieves,14.0
2 Louse,14.0
3 Louse,14.0
3 Byrds,14.0
Blue Slaver,14.0
Red Slaver,14.0
The Guardian,14.0
Snake Plant,14.0
Shelled Parasite and Fungi,14.0
3 Sentries,14.0
3 Cultists,14.0
The Guardian,14.0
Lots of Slimes,14.0
Slavers,14.0
Exordium Thugs,14.0
Exordium Thugs,14.0
3 Cultists,14.0
Jaw Worm,14.0
